date,ticker,open,high,low,close,vwap,volume,turnover,status
20211123,000688.SH,1477.6681,1485.7988,1473.5517,1476.2528,1476.2528,10579714.0,62351543.264,000688.SH
20211122,000688.SH,1449.4523,1483.4845,1449.3754,1479.9874,1479.9874,11213782.0,67432278.583,000688.SH
20211119,000688.SH,1424.7587,1447.1857,1424.7587,1444.7839,1444.7839,9380937.0,52706234.189,000688.SH
20211118,000688.SH,1433.508,1433.635,1417.1655,1423.9704,1423.9704,10239622.0,57006568.885,000688.SH
20211117,000688.SH,1420.9881,1438.8014,1414.1235,1436.1583,1436.1583,9775222.0,51587227.8,000688.SH
20211116,000688.SH,1428.481,1438.6107,1418.1952,1421.2749,1421.2749,10301429.0,52554665.695,000688.SH
20211115,000688.SH,1441.4073,1448.0286,1429.3163,1432.5994,1432.5994,11415896.0,61527266.128,000688.SH
20211112,000688.SH,1432.7093,1444.4057,1425.581,1440.1567,1440.1567,10727916.0,59031351.941,000688.SH
20211111,000688.SH,1418.4838,1443.6028,1416.1839,1437.1495,1437.1495,10200216.0,57249078.165,000688.SH
20211110,000688.SH,1417.6609,1423.3063,1398.8821,1420.4519,1420.4519,8704593.0,48751038.564,000688.SH
20211109,000688.SH,1404.8897,1422.8961,1397.8212,1420.5088,1420.5088,8749737.0,48290344.945,000688.SH
20211108,000688.SH,1398.5658,1401.0456,1381.6178,1400.7951,1400.7951,8082439.0,45547620.469,000688.SH
20211105,000688.SH,1416.243,1418.8812,1396.0334,1396.7382,1396.7382,9115940.0,48447465.368,000688.SH
20211104,000688.SH,1404.6586,1420.334,1404.6586,1410.7421,1410.7421,8411022.0,46770260.781,000688.SH
20211103,000688.SH,1408.1959,1416.4734,1386.3954,1399.5496,1399.5496,7383885.0,43143724.386,000688.SH
20211102,000688.SH,1405.8651,1423.9262,1395.6992,1405.6405,1405.6405,9807672.0,55141910.705,000688.SH
20211101,000688.SH,1398.5852,1415.5761,1392.4007,1404.2078,1404.2078,9112094.0,55378881.937,000688.SH
20211029,000688.SH,1363.25,1398.4168,1355.3709,1396.1952,1396.1952,8218328.0,50999073.36,000688.SH
20211028,000688.SH,1359.0729,1371.1742,1354.7179,1356.3747,1356.3747,8884098.0,47427890.543,000688.SH
